Club,GP,PTS,PTS Rank,W,W Rank,L,L Rank,T,T Rank,G,G Rank,G<18,G>18,HG,HG Rank,PKG,PKA,PK%,S,SOT,SHT%,SHT% Rank,G+A,G+A Rank,A,A Rank,CK,KP,KP Rank,P,PA,Pass%,Pass% Rank,POpp,POwn,LB,LB%,GA,GA Rank,SA,SA Rank,CS,CS Rank,SV%,SV% Rank,HDR%,Duel%,INT,PKGA,PKGA Rank,PKS,PKS%,Total Market Value,MKT Value Rank,Image URL
New England Revolution,43,75,2,21,2,10,5,12,9,63,8,55,8,12,4,3,6,50,618,215,34.78964401,13,126,8,63,7,278,434,2,14678,18395,79.79342213,21,7864,7056,1386,51.55,48,8,187,17,12,7,74.6,3,50.75,50.45,507,3,3,1,25,$42.05m,10,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970747/assets/logos/928-new-england-logo_u7ldvo.png"
New York City FC,41,70,6,21,2,13,9,7,22,71,2,61,10,8,18,5,6,83.35,649,259,39.90755008,1,128,7,57,9,230,451,1,15890,19511,81.44123828,15,8141,7933,1092,49.95,43,4,167,9,14,4,73.2,5,52.3,48.5,483,6,15,1,12.5,$52.25m,3,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970758/assets/logos/9668-nycfc-logo_mluq9x.png"
New York Red Bulls,41,51,18,14,16,18,18,9,17,51,19,41,10,4,24,3,3,100,494,158,31.98380567,24,101,19,50,14,205,336,12,11296,15697,71.96279544,26,7013,4486,884,37.5,55,12,173,12,10,14,68.05,15,50.75,48.75,574,6,15,1,16.65,$33.94m,16,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970744/assets/logos/399-ny-red-bulls-logo_o6xw9r.png"
Orlando City,41,71,5,19,6,8,1,14,3,68,7,59,9,16,2,3,4,83.35,478,186,38.91213389,2,139,3,71,2,182,307,21,15282,18356,83.25343212,5,7188,8253,1187,54.1,48,8,167,9,9,18,70.05,11,49.95,49.2,423,3,3,1,25,$48.18m,6,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970757/assets/logos/6900-orlando-logo_tfcjmq.png"
Philadelphia Union,42,75,2,21,2,9,3,12,9,69,5,56,13,10,10,3,3,100,542,206,38.00738007,5,135,6,66,5,217,368,9,13072,16714,78.20988393,24,7466,5797,1397,52.7,39,2,160,6,16,2,75.6,1,50.9,49.15,509,6,15,2,25,$30.77m,21,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970756/assets/logos/5513-philadelphia-logo_ea33hb.png"
Portland Timbers,41,62,9,18,7,15,12,8,19,69,5,63,6,19,1,5,6,83.35,481,166,34.51143451,15,145,1,76,1,154,325,16,13572,16807,80.75206759,18,6997,6744,1171,50.85,64,18,194,19,8,20,66.55,20,50.8,49.2,525,4,8,2,41.65,$35.53m,15,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1626094359/assets/logos/POR-Logo-480px_xh4gvt.png"
Real Salt Lake,40,46,20,11,21,16,14,13,4,52,17,46,6,11,6,4,5,83.35,498,161,32.32931727,23,102,17,50,14,215,329,15,13994,17337,80.71754052,19,6413,7763,1286,49.25,55,12,161,7,12,7,66.7,19,49.5,48.5,446,5,12,1,12.5,$23.27m,25,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1625175977/assets/logos/RSL-Logo-480px_j5pblf.png"
San Jose Earthquakes,42,52,16,13,18,16,14,13,4,56,15,46,10,6,20,5,8,56.65,548,209,38.13868613,4,104,15,48,20,241,361,10,15927,19166,83.10028175,6,7215,8877,1516,56.45,78,27,219,25,10,14,64.2,24,48.8,49.15,480,6,15,2,37.5,$28.82m,23,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1620997962/assets/logos/SJ-Logo-480px.png"
Seattle Sounders FC,41,75,2,21,2,8,1,12,9,70,4,62,8,11,6,7,8,83.35,513,184,35.86744639,8,139,3,69,4,202,331,14,15802,19087,82.78933305,10,7689,8306,1298,53.8,37,1,142,1,13,5,73.65,4,52.6,53.1,537,6,15,0,0,$45.32m,8,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970755/assets/logos/3500-seattle-logo_xkawvk.png"
Sporting Kansas City,40,76,1,23,1,10,5,7,22,73,1,64,9,10,10,4,4,100,602,203,33.72093023,20,137,5,64,6,254,375,6,15532,18692,83.09437192,7,8144,7565,1339,56.05,45,6,151,2,11,10,70.05,11,51.5,49.95,470,2,2,1,50,$33.00m,18,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970745/assets/logos/421-sporting-kc-logo_pyhxo8.png"
Toronto FC,42,59,11,16,11,15,12,11,13,57,10,50,7,11,6,6,7,75,467,180,38.54389722,3,114,11,57,9,209,318,18,17281,20726,83.37836534,3,9458,7958,1078,49.75,66,20,201,20,10,14,67.05,16,48.25,50.3,424,7,20,0,0,$50.85m,4,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970755/assets/logos/2077-toronto-fc-logo_gx1gtb.png"
Vancouver Whitecaps FC,41,44,21,12,20,21,24,8,19,46,23,43,3,8,18,5,7,75,366,126,34.42622951,16,90,23,44,23,159,223,26,13331,16294,81.81539217,13,5714,7759,1222,51.8,72,25,216,24,7,23,66.5,21,47.6,51.35,483,5,12,0,0,$37.54m,13,"https://images.mlssoccer.com/image/upload/w_128,h_128,c_pad/f_png/v1614970751/assets/logos/1708-vancouver-logo_znac8n.png"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.34615385,,,,10.38461538,,68.57692308,,,,,,,,,,,
