,Player,Age,Preferred Foot,Position, Market Value When Signed , Market Value , Market Trend ,Active Squad,GP,GS,Mins,Sub,G,Goal Rank,G<18,G>18,G/90min,HG,PKG,PKA,PK%,S,SOT,SHT%,ASC%,DRBs,DRB%,G+A,P,PA,Pass%,POpp,POwn,Cross,A,A/90min,KP,LB,SP,LA,TO,GA,CS,HDR%,Duel,Duel%,INT,Image URL,Country,Country URL
17,D. McCarty,33,Right,Midfielder," $1,100,000.00 "," $440,000.00 "," $(660,000.00)",Yes,38,36,3145,2,1,7,1,0,0.03,1,0,0,0,21,7,0.333333333,0.14,16,0.693,5,1598,1842,0.87,760,840,2,4,0.11,37,108,1490,19,37,36,10,0.461,267,0.5715,52,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/pad8rjtbrisykwdrlhaa.png,USA,https://cdn.sofifa.com/flags/us.png
1,A. Godoy,30,Left,Midfielder," $650,000.00 "," $660,000.00 "," $10,000.00 ",Yes,32,28,2411,4,1,7,0,1,0.04,0,0,0,0,31,12,0.387096774,0.08,26,0.5585,4,1450,1572,0.92,799,652,1,3,0.11,19,144,1306,3,32,27,8,0.603,305,0.563,60,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/ldcdesdyk2mz0adaqeje.png,Panama,https://cdn.sofifa.com/flags/pa.png
4,A. Muyl,24,Right,Midfielder," $743,000.00 "," $1,100,000.00 "," $357,000.00 ",Yes,36,27,2181,9,1,7,0,1,0.04,0,0,0,0,30,5,0.166666667,0.20,21,0.547,3,506,641,0.79,302,209,5,2,0.08,17,28,478,8,58,21,2,0.4405,322,0.4105,25,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/tcw9rabwxmd8fujtuach.png,USA,https://cdn.sofifa.com/flags/us.png
19,D. Romney,28,Left,Defender," $660,000.00 "," $880,000.00 "," $220,000.00 ",Yes,41,41,3690,0,1,7,1,0,0.02,1,0,0,0,25,5,0.2,0.20,1,0,4,1613,1879,0.86,485,1129,1,3,0.07,10,140,1473,57,5,39,17,0.537,207,0.539,40,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/n4epyzagnmq7zz8opb9y.png,USA,https://cdn.sofifa.com/flags/us.png
43,W. Zimmerman,27,Right,Defender," $2,750,000.00 "," $3,850,000.00 "," $1,100,000.00 ",Yes,32,31,2751,1,3,5,3,0,0.10,2,0,0,0,26,11,0.423076923,0.27,7,0,5,1159,1396,0.83,311,849,1,2,0.07,14,82,1077,39,14,28,14,0.705,219,0.647,54,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/mucloyiuooft3olieifp.png,USA,https://cdn.sofifa.com/flags/us.png
2,A. Johnston,21,Right,Midfielder, Draft ," $2,750,000.00 "," $2,750,000.00 ",Yes,30,27,2366,3,0,0,0,0,0.00,0,0,0,0,6,4,0.666666667,0.00,14,0.7625,1,849,1046,0.81,407,459,17,1,0.04,20,46,803,23,13,25,11,0.5525,180,0.5905,29,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/md6tnxllgt2dsyfsbiag.png,Canada,https://cdn.sofifa.com/flags/ca.png
20,D. Rios,25,Right,Forward," $385,000.00 "," $2,200,000.00 "," $1,815,000.00 ",Yes,19,8,710,11,4,4,4,0,0.51,2,0,0,0,27,9,0.333333333,0.44,10,0.3215,4,140,171,0.82,93,47,0,0,0.00,8,4,136,1,28,8,1,0.4285,89,0.531,1,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/jzwz4zbmifdcyfkmao43.png,Mexico,https://cdn.sofifa.com/flags/mx.png
32,L. Haakenson,22,Right,Midfielder, Draft ," $385,000.00 "," $385,000.00 ",Yes,11,1,204,10,2,6,2,0,0.88,0,0,0,0,10,5,0.5,0.40,4,0.4,2,39,55,0.71,32,9,2,0,0.00,4,2,37,1,2,2,0,0.2665,33,0.2575,2,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/eirqkql65dqyiijwgrbs.png,USA,https://cdn.sofifa.com/flags/us.png
7,B. Anunga,23,Right,Midfielder," $303,000.00 "," $495,000.00 "," $192,000.00 ",Yes,24,15,1376,9,1,7,0,1,0.07,0,0,0,0,7,2,0.285714286,0.50,12,0.619,1,581,671,0.87,236,345,0,0,0.00,3,29,552,13,17,10,5,0.2785,144,0.395,22,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/r4dpftj6uwbqftpozwkf.png,Cameroon,https://cdn.sofifa.com/flags/cm.png
26,J. Anibaba,31,Right,Defender," $770,000.00 "," $220,000.00 "," $(550,000.00)",Yes,20,12,1156,8,1,7,1,0,0.08,1,0,0,0,7,3,0.428571429,0.33,1,0.25,1,344,425,0.81,88,257,1,0,0.00,0,32,312,24,4,10,4,0.5195,56,0.555,14,https://images.mlssoccer.com/image/private/t_editorial_squared_6_desktop/f_png/mls-nsh-prd/gdjyafn3fe1xyqbzhixq.png,USA,https://cdn.sofifa.com/flags/us.png
